"Renal Non-Clear Cell Carcinoma (Genentech, Nat Genet 2014)",nccrcc_genentech_2014,146
"Rhabdoid Cancer (BCGSC, Cancer Cell 2016)",mrt_bcgsc_2016,40
"Rhabdomyosarcoma (NIH, Cancer Discov 2014)",rms_nih_2014,43
"Sarcoma (MSKCC/Broad, Nat Genet 2010)",summit_2018,207
"Sarcoma (TCGA, PanCancer Atlas)",sarc_mskcc,255
"Sarcoma (TCGA, Provisional)",sarc_tcga_pan_can_atlas_2018,254
"Skin Cutaneous Melanoma (Broad, Cell 2012)",sarc_tcga,121
"Skin Cutaneous Melanoma (TCGA, PanCancer Atlas)",skcm_broad,440
"Skin Cutaneous Melanoma (TCGA, Provisional)",skcm_tcga_pan_can_atlas_2018,368
"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)",skcm_tcga,147
"Skin Cutaneous Melanoma(Broad, Cancer Discov 2014)",skcm_yale,78
"Small Cell Carcinoma of the Ovary (MSKCC, Nat Genet 2014)",skcm_broad_brafresist_2012,12
"Small Cell Lung Cancer (CLCGP, Nat Genet 2012)",scco_mskcc,29
"Small Cell Lung Cancer (Johns Hopkins, Nat Genet 2012)",sclc_clcgp,51
"Small Cell Lung Cancer (U Cologne, Nature 2015)",sclc_jhu,110
"Small-Cell Lung Cancer (Multi-Institute, Cancer Cell 2017)",sclc_ucologne_2015,20
"Squamous Cell Carcinoma of the Vulva (CUK, Exp Mol Med 2018)",sclc_cancercell_gardner_2017,15
"Stomach Adenocarcinoma (Pfizer and UHK, Nat Genet 2014)",vsc_cuk_2018,100
"Stomach Adenocarcinoma (TCGA, Nature 2014)",stad_pfizer_uhongkong,295
"Stomach Adenocarcinoma (TCGA, PanCancer Atlas)",stad_tcga_pub,436
"Stomach Adenocarcinoma (TCGA, Provisional)",stad_tcga_pan_can_atlas_2018,395
"Stomach Adenocarcinoma (U Tokyo, Nat Genet 2014)",stad_tcga,30
"Stomach Adenocarcinoma (UHK, Nat Genet 2011)",stad_utokyo,22
"SUMMIT - Neratinib Basket Study (Multi-Institute, Nature 2018)",stad_uhongkong,106
"Testicular Germ Cell Cancer (TCGA, Provisional)",tmb_mskcc_2018,155
"Testicular Germ Cell Tumors (TCGA, PanCancer Atlas)",tgct_tcga,145
"The Angiosarcoma Project - Count Me In (Provisional, September 2018)",tgct_tcga_pan_can_atlas_2018,48
"The Metastatic Breast Cancer Project (Provisional, October 2018)",angs_project_painter_2018,237
"The Metastatic Prostate Cancer Project (Provisional, December 2018)",brca_mbcproject_wagle_2017,19
"Thoracic PDX (MSK, Provisional)",prad_mpcproject_2018,139
"Thymic Epithelial Tumors (NCI, Nat Genet 2014)",lung_msk_pdx,32
"Thymoma (TCGA, PanCancer Atlas)",tet_nci_2014,123
"Thymoma (TCGA, Provisional)",thym_tcga_pan_can_atlas_2018,123
"Thyroid Carcinoma (TCGA, PanCancer Atlas)",thym_tcga,490
"Thyroid Carcinoma (TCGA, Provisional)",thca_tcga_pan_can_atlas_2018,405
"TMB and Immunotherapy (MSKCC, Nat Genet 2019)",thca_tcga,1661
"Unclassified Renal Cell Carcinoma (MSK, Nature 2016)",urcc_mskcc_2016,62
"Upper Tract Urothelial Cancer (MSK, Eur Urol 2015)",utuc_mskcc_2015,85
"Upper Tract Urothelial Carcinoma (Cornell/Baylor/MDACC, Nat Comm 2019)",utuc_cornell_baylor_mdacc_2019,37
"Urothelial Carcinoma (Cornell/Trento, Nat Gen 2016)",blca_cornell_2016,72
"Uterine Carcinosarcoma (Johns Hopkins, Nat Commun 2014)",ucs_jhu_2014,22
"Uterine Carcinosarcoma (TCGA, PanCancer Atlas)",ucs_tcga_pan_can_atlas_2018,57
"Uterine Carcinosarcoma (TCGA, Provisional)",ucs_tcga,57
"Uterine Clear Cell Carcinoma (NIH, Cancer 2017)",uccc_nih_2017,16
"Uterine Corpus Endometrial Carcinoma (TCGA, Nature 2013)",ucec_tcga_pub,248
"Uterine Corpus Endometrial Carcinoma (TCGA, PanCancer Atlas)",ucec_tcga_pan_can_atlas_2018,517
"Uterine Corpus Endometrial Carcinoma (TCGA, Provisional)",ucec_tcga,248
"Uveal Melanoma (QIMR, Oncotarget 2016)",um_qimr_2016,28
"Uveal Melanoma (TCGA, PanCancer Atlas)",uvm_tcga_pan_can_atlas_2018,80
"Uveal Melanoma (TCGA, Provisional)",uvm_tcga,80
